org1,org2,total
SPOL,PSYC,1.2313399090
BIOC,PHPH,1.1657625354
BISC,PHPH,2.0000000000
PHPH,SOCS,1.1927546193
PSYC,SSCM,6.7667446516
EFIM,SOCS,0.5162193296
SPOL,EDUC,0.6630854641
CHSE,BIOC,0.5898854627
QUEN,SPOL,0.5394896942
SOCS,PSYC,2.1450696766
SSCM,EDUC,0.9076513664
SSCM,MDYF,1.9700643100
EDUC,SPOL,0.6630854641
PSYC,SOCS,2.1450696766
ORDS,PHYS,2.0000000000
PANM,CHSE,0.7706704792
SSCM,SPOL,2.4878762616
PHYS,ORDS,2.0000000000
SSCM,PHYS,4.5228749313
GELY,GEOG,1.6770684241
MATH,SSCM,1.0815687609
PANM,VESC,0.7706704792
ORDS,VESC,0.6075158133
VESC,ORDS,0.6075158133
ORDS,BISC,2.0000000000
BISC,SOCS,2.0000000000
ENGF,MATH,1.0815687609
PHPH,BIOC,1.1657625354
ORDS,SPOL,0.6282388272
BISC,PHYS,2.0000000000
BISC,SSCM,4.5228749313
PANM,PHPH,0.6572531944
GELY,ENGF,1.0815687609
EDUC,SOCS,0.9076513664
GEOG,SSCM,0.5280389990
PHPH,PSYC,0.5228749313
MATH,GEOG,1.1490294252
MDYF,SSCM,1.9700643100
PHPH,SSCM,5.0642561560
EDUC,SSCM,0.9076513664
PHPH,BISC,2.0000000000
BISC,PSYC,0.5228749313
SSCM,PSYC,6.7667446516
PHYS,PSYC,0.5228749313
CABI,SOCS,0.5237055436
GELY,SSCM,1.6002702059
SSCM,ORDS,5.8156536639
CHSE,SOCS,0.7706704792
SOCS,ORDS,0.5440077822
SSCM,SOCS,16.9072153635
SSCM,SART,0.7535027384
SSCM,MVEN,0.7535027384
PSYC,BISC,0.5228749313
GEOG,SPOL,0.6630854641
CHSE,PANM,0.7706704792
SART,BIOC,0.5745827035
SSCM,GEOG,0.5280389990
SOCS,PHYS,2.0000000000
BIOC,SART,0.5745827035
SSCM,BIOC,0.5898854627
SOCS,VESC,1.3781862925
PANM,ORDS,0.5440077822
SSCM,MATH,1.0815687609
GEOG,CHEM,1.2773060158
SSCM,BISC,4.5228749313
SOCS,EDUC,0.9076513664
SOCS,BISC,2.0000000000
MATH,BIOC,0.5745827035
QUEN,BISC,0.6691704946
SOCS,CABI,0.5237055436
SOCS,SSCM,16.9072153635
BIOC,MATH,0.5745827035
ENGF,GELY,1.0815687609
BIOC,SSCM,0.5898854627
PSYC,SPOL,1.2313399090
SOCS,MEED,0.5162193296
CHEM,GEOG,1.2773060158
PHYS,PHPH,2.0000000000
SPOL,QUEN,0.5394896942
BISC,ORDS,2.0000000000
BISC,QUEN,0.6691704946
SPOL,ORDS,0.6282388272
PHPH,PHYS,2.0000000000
MVEN,SSCM,0.7535027384
BIOC,CHSE,0.5898854627
ORDS,SOCS,0.5440077822
GEOG,GELY,1.6770684241
ORDS,PANM,0.5440077822
PSYC,ORDS,1.8156536639
GEOG,MATH,1.1490294252
SOCS,CHSE,0.7706704792
MEED,SOCS,0.5162193296
PSYC,PHPH,0.5228749313
SSCM,PHPH,5.0642561560
SPOL,SSCM,2.4878762616
MVEN,QUEN,1.6253214786
SPOL,GEOG,0.6630854641
PHYS,SSCM,4.5228749313
SSCM,GELY,1.6002702059
PHYS,BISC,2.0000000000
PHYS,SOCS,2.0000000000
PHPH,PANM,0.6572531944
SART,SSCM,0.7535027384
PSYC,PHYS,0.5228749313
VESC,SOCS,1.3781862925
QUEN,MVEN,1.6253214786
SOCS,EFIM,0.5162193296
ORDS,PSYC,1.8156536639
VESC,PANM,0.7706704792
SOCS,PHPH,1.1927546193
MATH,ENGF,1.0815687609
ORDS,SSCM,5.8156536639
